group_id	label	binary_label	subtype	label_type
cea_g_605dd3563b2ce640b29d	Other	0	Benign	controlled_task_objective
cea_g_d3b18c21b36a4ff0a8a2	Other	0	Normal	controlled_task_objective
cea_g_c1b3b8afdfdc0072e4b5	Malicious	1	Malicious	controlled_task_objective
cea_g_ffa8c26196f57271b43f	Malicious	1	Malicious	controlled_task_objective
cea_g_e04e6cc6d7d29db46df3	Malicious	1	Malicious	controlled_task_objective
cea_g_ef85d85949ac4a713004	Malicious	1	Malicious	controlled_task_objective
cea_g_0495235cbf3fdca45b85	Other	0	Benign	controlled_task_objective
cea_g_28cacfafaf8ad40d37a2	Other	0	Normal	controlled_task_objective
cea_g_538e766f032f29a63826	Other	0	Benign	controlled_task_objective
cea_g_fc1ffe4309fad889c7f4	Malicious	1	Malicious	controlled_task_objective
cea_g_e04ae218d982ab398c76	Other	0	Benign	controlled_task_objective
cea_g_8be6f6ed1a1783a597e2	Malicious	1	Malicious	controlled_task_objective
cea_g_2eca52d28532b0cbd17d	Malicious	1	Malicious	controlled_task_objective
cea_g_467447751aea7609b907	Other	0	Normal	controlled_task_objective
cea_g_b0ac6da6083456366abb	Other	0	Benign	controlled_task_objective
cea_g_e4eec94615c1372a6a6c	Other	0	Normal	controlled_task_objective
cea_g_df97d5111450ddfa1aa5	Malicious	1	Malicious	controlled_task_objective
cea_g_06353f662e0629266b02	Other	0	Normal	controlled_task_objective
cea_g_7f43dd83e3637333bc3d	Other	0	Benign	controlled_task_objective
cea_g_fd50650e5361777915cc	Other	0	Normal	controlled_task_objective
cea_g_149695416994b1760c82	Other	0	Normal	controlled_task_objective
cea_g_9b0af8efa288b2f1becc	Other	0	Benign	controlled_task_objective
cea_g_d9435eff76e1936e8ad4	Malicious	1	Malicious	controlled_task_objective
cea_g_37da64d7a45dbc843ada	Malicious	1	Malicious	controlled_task_objective
cea_g_fd0e2b3ef988605229c8	Malicious	1	Malicious	controlled_task_objective
cea_g_2a2716d99d3c39a6d9de	Malicious	1	Malicious	controlled_task_objective
cea_g_4b40e187dffc4c1b38d1	Malicious	1	Malicious	controlled_task_objective
cea_g_f42c015c05e9270e9af5	Malicious	1	Malicious	controlled_task_objective
cea_g_536445bae4b13a465599	Malicious	1	Malicious	controlled_task_objective
cea_g_5129960d5933025b48c3	Other	0	Normal	controlled_task_objective
cea_g_2fe3a36c288fd6ca9f06	Malicious	1	Malicious	controlled_task_objective
cea_g_8203551b9ecd0985c174	Other	0	Normal	controlled_task_objective
