group_id	base_group_id	perturbation_level	base_sessions	output_sessions	dropped_sessions	substituted_sessions	rotated_endpoints	jittered_sessions	payload_changed_sessions	background_sessions
ceb_g_b2a2b91dfcf69f9ddec9	cea_g_006b7026494feedf06db	0.10	54	54	1	1	5	53	51	1
ceb_g_fe701d294d9e73093c68	cea_g_006b7026494feedf06db	0.20	54	55	1	1	8	53	52	2
ceb_g_bb2e334c67a9da1752cb	cea_g_006b7026494feedf06db	0.30	54	51	5	1	15	49	49	2
ceb_g_e4f21b81f7b35f26f01c	cea_g_006b7026494feedf06db	0.40	54	53	4	4	13	50	50	3
ceb_g_a71ca0ff189b749ae31d	cea_g_006b7026494feedf06db	0.50	54	53	5	3	27	49	49	4
ceb_g_bb9dce3ac50631ee094a	cea_g_006b7026494feedf06db	0.60	54	55	4	9	28	50	49	5
ceb_g_08ab90aa507c51769249	cea_g_00740dbab6be70724027	0.10	60	60	1	2	5	59	58	1
ceb_g_25efe94a630888e87215	cea_g_00740dbab6be70724027	0.20	60	61	1	4	12	59	59	2
ceb_g_2e81fe282e85fa627eac	cea_g_00740dbab6be70724027	0.30	60	56	7	1	20	53	53	3
ceb_g_fa2d56cc26c278d5a821	cea_g_00740dbab6be70724027	0.40	60	61	3	0	23	57	57	4
ceb_g_2d01d05c91edc4202de9	cea_g_00740dbab6be70724027	0.50	60	59	5	1	24	55	55	4
ceb_g_62fe4ff2bea12919d066	cea_g_00740dbab6be70724027	0.60	60	60	5	6	29	55	55	5
ceb_g_edc9cc3b6da2824631e1	cea_g_009c05fd302c6dbb400c	0.10	42	41	2	0	2	40	40	1
ceb_g_bf6e84d4d1913c73d01c	cea_g_009c05fd302c6dbb400c	0.20	42	42	1	2	6	41	41	1
ceb_g_e527dee65782650b147c	cea_g_009c05fd302c6dbb400c	0.30	42	42	2	1	10	40	40	2
ceb_g_1bb714f0745effc740a5	cea_g_009c05fd302c6dbb400c	0.40	42	42	3	3	17	39	39	3
ceb_g_f1a7ee5632983992f79b	cea_g_009c05fd302c6dbb400c	0.50	42	39	6	1	14	36	36	3
ceb_g_97a47a013a3a59cfbac3	cea_g_009c05fd302c6dbb400c	0.60	42	42	4	5	27	38	38	4
ceb_g_5041245552617d51c182	cea_g_00e579888f1a975d0dcf	0.10	45	45	1	1	5	44	44	1
ceb_g_8355e44c7a2d67931e2c	cea_g_00e579888f1a975d0dcf	0.20	45	44	2	1	7	43	43	1
ceb_g_2f36172d63f5a8548ff5	cea_g_00e579888f1a975d0dcf	0.30	45	41	6	4	15	39	39	2
