group_id	source_group_id	source_component	source_dataset	label	binary_label	label_type	evidence_grade
ABOME-Malicious_g_00240a896e03ef03e198	group_54b9e3750ec56e8a	ABOME_Malicious	ABOME	Malicious	1	source_derived_weak	source_derived
ABOME-Malicious_g_0046d0755a3150942a4b	group_1a2aad8ef562e174	ABOME_Malicious	ABOME	Malicious	1	source_derived_weak	source_derived
ABOME-Malicious_g_008d9e51eef7bfef0dcd	group_dce3502b4bce99e3	ABOME_Malicious	ABOME	Malicious	1	source_derived_weak	source_derived
ABOME-Malicious_g_008f4ccce0144254dce3	group_e2a79dcb482b99bc	ABOME_Malicious	ABOME	Malicious	1	source_derived_weak	source_derived
ABOME-Malicious_g_00f7302cd10862d2d8cc	group_6c29f8223af33f51	ABOME_Malicious	ABOME	Malicious	1	source_derived_weak	source_derived
ABOME-Malicious_g_00fbb8be7db53e1e24dc	group_1d3bc8f616859fd8	ABOME_Malicious	ABOME	Malicious	1	source_derived_weak	source_derived
ABOME-Malicious_g_0138d41191304f334da2	group_7ef8a7e231f32506	ABOME_Malicious	ABOME	Malicious	1	source_derived_weak	source_derived
ABOME-Malicious_g_01539e94cce0fecf7b7a	group_7b9e9cd6a06aaffc	ABOME_Malicious	ABOME	Malicious	1	source_derived_weak	source_derived
ABOME-Malicious_g_018b19371bc050896f80	group_786913bf5734032f	ABOME_Malicious	ABOME	Malicious	1	source_derived_weak	source_derived
ABOME-Malicious_g_0191cdfa302fabe35752	group_6e765732bf13324d	ABOME_Malicious	ABOME	Malicious	1	source_derived_weak	source_derived
ABOME-Malicious_g_019ec7d7dab1423a10f4	group_b7729f958cbf0cda	ABOME_Malicious	ABOME	Malicious	1	source_derived_weak	source_derived
ABOME-Malicious_g_01ab3f04bcd042af5776	group_01aa101212f5b1ee	ABOME_Malicious	ABOME	Malicious	1	source_derived_weak	source_derived
ABOME-Malicious_g_01c63a2c68095721c7ed	group_ff1467d21f58dfa6	ABOME_Malicious	ABOME	Malicious	1	source_derived_weak	source_derived
ABOME-Malicious_g_01cc352c2da06974125c	group_917bec6c3ef7645b	ABOME_Malicious	ABOME	Malicious	1	source_derived_weak	source_derived
ABOME-Malicious_g_020ef3421e371dd7ee10	group_963e2317520cf4e6	ABOME_Malicious	ABOME	Malicious	1	source_derived_weak	source_derived
ABOME-Malicious_g_022349c5bdc2e00fade7	group_411d94fa225468ea	ABOME_Malicious	ABOME	Malicious	1	source_derived_weak	source_derived
ABOME-Malicious_g_02274c689b02e9fbffe0	group_19c145b092af706b	ABOME_Malicious	ABOME	Malicious	1	source_derived_weak	source_derived
ABOME-Malicious_g_026157c97d26d0dc0fc0	group_6de4f7230a207081	ABOME_Malicious	ABOME	Malicious	1	source_derived_weak	source_derived
ABOME-Malicious_g_02f0a196d06ba5b782f3	group_10f82745417ecc08	ABOME_Malicious	ABOME	Malicious	1	source_derived_weak	source_derived
ABOME-Malicious_g_02f9224971b3a9e75381	group_6981a09006f2b8af	ABOME_Malicious	ABOME	Malicious	1	source_derived_weak	source_derived
