session_id	group_id	user_id	destination_id	capture_start_ms	duration_ms	tls_record_count	c2s_record_count	s2c_record_count	c2s_record_bytes	s2c_record_bytes	signed_tls_record_lengths	record_interarrival_ms
ABOME-Malicious_s_80ed300a78a2decd69fb	ABOME-Malicious_g_00240a896e03ef03e198	ABOME-Malicious_u_197dd62d3fdb54963928	endpoint_a5ca91efb858b1eac1b8	76341.344	386.386	19	7	12	2190	3972	[1516,-1215,-6,-28,-853,-286,-74,6,74,185,242,143,-255,-255,-121,-432,-423,-24,24]	[0.0,49.533,0.007,0.004,0.004,0.004,0.003,39.965,0.006,0.005,0.004,37.94,0.664,0.005,57.038,0.014,25.769,0.01,39.705]
ABOME-Malicious_s_03769e7612ec91c4b73c	ABOME-Malicious_g_00240a896e03ef03e198	ABOME-Malicious_u_1c532ae8e4d8917e3f49	endpoint_a5ca91efb858b1eac1b8	463614.5	493.649	24	7	17	2125	10840	[1516,-1215,-6,-28,-853,-286,-74,6,74,185,202,118,-255,-255,-122,-1122,-1122,-1122,-1122,-1122,-1122,-990,-24,24]	[0.0,47.416,0.005,0.004,0.003,0.003,0.008,31.215,0.01,0.006,0.005,36.118,0.68,0.004,62.728,0.012,25.537,22.362,25.034,25.881,24.764,24.421,0.006,33.651]
ABOME-Malicious_s_31443ef147d9a0fa8d8f	ABOME-Malicious_g_00240a896e03ef03e198	ABOME-Malicious_u_b3455cac03e6a3f59698	endpoint_a5ca91efb858b1eac1b8	2521163.375	566.021	26	8	18	2249	11676	[1516,-1215,-6,-28,-853,-286,-74,6,74,185,202,202,-255,-255,40,-122,-1122,-1122,-1122,-1122,-1122,-1122,-1122,-704,-24,24]	[0.0,49.451,0.006,0.004,0.004,0.004,0.007,35.944,0.007,0.015,0.003,33.277,0.631,0.005,24.004,62.419,0.013,26.534,29.911,31.015,32.449,25.424,23.302,26.105,0.009,48.661]
ABOME-Malicious_s_11c8cbe397ad995480f8	ABOME-Malicious_g_00240a896e03ef03e198	ABOME-Malicious_u_f3bd510505cf56f5da69	endpoint_a5ca91efb858b1eac1b8	2847355.438	420.993	22	9	13	3162	5184	[1516,-1215,-6,-28,-853,-286,-74,6,74,189,382,382,-255,-255,382,207,-122,-742,-742,-582,-24,24]	[0.0,41.468,0.006,0.004,0.003,0.003,0.004,37.541,0.005,0.003,0.003,38.598,0.63,0.005,20.874,24.059,50.609,0.008,20.757,23.096,0.006,36.772]
ABOME-Malicious_s_b56b6f3b4fe877265413	ABOME-Malicious_g_00240a896e03ef03e198	ABOME-Malicious_u_19a41e0282e686c362f4	endpoint_a5ca91efb858b1eac1b8	3210845.375	596.566	22	9	13	3040	5246	[1516,-1215,-6,-28,-853,-286,-74,6,74,189,382,382,-255,-255,382,85,-122,-742,-742,-644,-24,24]	[0.0,61.687,0.007,0.005,0.004,0.003,0.004,50.604,0.011,0.007,0.007,48.181,1.512,0.009,37.046,26.905,65.598,0.017,39.672,44.225,0.01,55.326]
ABOME-Malicious_s_de2f2f84958be538bd44	ABOME-Malicious_g_00240a896e03ef03e198	ABOME-Malicious_u_7ec919e661d41f18c20b	endpoint_a5ca91efb858b1eac1b8	3529548.875	715.064	24	11	13	4414	4659	[1516,-1215,-6,-28,-853,-286,-74,6,74,190,502,502,-255,-255,502,502,502,94,-122,-702,-702,-137,-24,24]	[0.0,46.998,0.016,0.008,0.008,0.006,0.007,48.175,0.006,0.004,0.004,62.36,0.708,0.006,51.735,60.37,62.933,65.457,111.751,0.011,29.029,28.002,0.006,40.74]
ABOME-Malicious_s_f1ebd0c95768c4f7f0e7	ABOME-Malicious_g_00240a896e03ef03e198	ABOME-Malicious_u_161327e94672417cc8b0	endpoint_a5ca91efb858b1eac1b8	3786748.344	387.08	20	8	12	2489	4206	[1516,-1215,-6,-28,-853,-286,-74,6,74,185,278,278,-255,-255,128,-122,-662,-426,-24,24]	[0.0,36.92,0.009,0.007,0.006,0.006,0.006,39.214,0.005,0.004,0.003,37.733,0.894,0.005,22.319,49.706,0.008,28.577,0.01,33.801]
ABOME-Malicious_s_aa8662bbc84921840886	ABOME-Malicious_g_00240a896e03ef03e198	ABOME-Malicious_u_58a43c4a126d716cbf29	endpoint_a5ca91efb858b1eac1b8	4286731.344	750.087	26	7	19	2107	12929	[1516,-1215,-6,-28,-853,-286,-74,6,74,185,202,100,-255,-255,-122,-1122,-1122,-1122,-1122,-1122,-1122,-1122,-1122,-835,-24,24]	[0.0,37.731,0.006,0.004,0.004,0.004,0.004,38.362,0.007,0.003,0.004,57.969,7.453,0.009,56.086,0.009,20.124,21.136,32.232,34.725,36.987,36.114,42.503,39.586,0.01,64.989]
ABOME-Malicious_s_fa37e4ddbcb2cee4d05e	ABOME-Malicious_g_0046d0755a3150942a4b	ABOME-Malicious_u_6dec2b2d1a1d9b17cd0c	endpoint_1723215f3bb2a7608232	1501161.438	355.524	20	8	12	2518	4322	[1516,-1215,-6,-28,-853,-286,-74,6,74,188,342,342,-255,-255,26,-122,-662,-542,-24,24]	[0.0,42.461,0.005,0.005,0.004,0.003,0.004,40.482,0.01,0.006,0.006,35.022,0.91,0.005,19.443,49.349,0.006,20.498,0.007,34.322]
ABOME-Malicious_s_23a958ef129b9c6d7393	ABOME-Malicious_g_0046d0755a3150942a4b	ABOME-Malicious_u_3113b14712c8768dce04	endpoint_1723215f3bb2a7608232	1563086.563	600.113	24	7	17	2187	10884	[1516,-1215,-6,-28,-853,-286,-74,6,74,185,202,180,-255,-255,-122,-1122,-1122,-1122,-1122,-1122,-1122,-1034,-24,24]	[0.0,45.138,0.006,0.005,0.004,0.003,0.004,41.681,0.009,0.005,0.006,42.695,0.95,0.008,51.374,0.009,30.3,29.813,42.656,44.966,39.488,31.146,0.011,55.353]
