group_id	split
ABOME-Malicious_g_00240a896e03ef03e198	validation
ABOME-Malicious_g_0046d0755a3150942a4b	train
ABOME-Malicious_g_008d9e51eef7bfef0dcd	test
ABOME-Malicious_g_008f4ccce0144254dce3	train
ABOME-Malicious_g_00f7302cd10862d2d8cc	train
ABOME-Malicious_g_00fbb8be7db53e1e24dc	train
ABOME-Malicious_g_0138d41191304f334da2	validation
ABOME-Malicious_g_01539e94cce0fecf7b7a	train
ABOME-Malicious_g_018b19371bc050896f80	train
ABOME-Malicious_g_0191cdfa302fabe35752	train
ABOME-Malicious_g_019ec7d7dab1423a10f4	test
ABOME-Malicious_g_01ab3f04bcd042af5776	test
ABOME-Malicious_g_01c63a2c68095721c7ed	test
ABOME-Malicious_g_01cc352c2da06974125c	test
ABOME-Malicious_g_020ef3421e371dd7ee10	validation
ABOME-Malicious_g_022349c5bdc2e00fade7	train
ABOME-Malicious_g_02274c689b02e9fbffe0	train
ABOME-Malicious_g_026157c97d26d0dc0fc0	train
ABOME-Malicious_g_02f0a196d06ba5b782f3	train
ABOME-Malicious_g_02f9224971b3a9e75381	train
ABOME-Malicious_g_0300bb7eb6b49a0aa4f6	train
ABOME-Malicious_g_0326f3cd959e24e48c33	train
ABOME-Malicious_g_035eca7c1f906e3fb619	validation
ABOME-Malicious_g_03d226ec2e749dc3f3e8	train
ABOME-Malicious_g_03dbf16bc6cfa1c5e7ec	train
ABOME-Malicious_g_04215c47bde33c43f0a8	train
ABOME-Malicious_g_04219612b5572bbaca7e	validation
ABOME-Malicious_g_04a529c4ce76accf5bad	train
ABOME-Malicious_g_04af1c0a77dc94157e23	train
ABOME-Malicious_g_056c2215af973c144df5	train
ABOME-Malicious_g_056fcd092183e3f2d7b3	test
ABOME-Malicious_g_05e58f6f92e25fabfba3	train
ABOME-Malicious_g_06482099a514e5c03729	validation
ABOME-Malicious_g_065bcfd422fc9970e10a	test
ABOME-Malicious_g_06766d7808b0e9cc3fbd	train
ABOME-Malicious_g_06b45e7c9060e14c3fa8	train
ABOME-Malicious_g_06e34582189c052675a7	train
ABOME-Malicious_g_06f5bfb9b959f5898e77	train
ABOME-Malicious_g_06f92baa68e0de5f804d	validation
ABOME-Malicious_g_0733f08de0a990dc11f3	train
ABOME-Malicious_g_079600303ae048cb0599	train
ABOME-Malicious_g_0796743c94ac0b69d349	train
ABOME-Malicious_g_07c4c182c00fcc1d8b8f	test
ABOME-Malicious_g_07fc178aadf124b6cb17	train
ABOME-Malicious_g_0812c8bdcef27f6625cd	validation
ABOME-Malicious_g_081fbeca7eb3890472b3	test
ABOME-Malicious_g_082072e4ae147b3398ba	train
ABOME-Malicious_g_082ee4f7838cb292899e	validation
ABOME-Malicious_g_083742e8cc53cbe27d02	train
ABOME-Malicious_g_084991075ca9379fad87	test
ABOME-Malicious_g_0849f71e2ddcb9664094	train
