group_id	source_group_id	source_component	source_dataset	label	binary_label	label_type	evidence_grade
CryptoBounty-Benign_g_00f49d66d4dea2fc889f	group_27959e83d1fd6f48	CryptoBounty_Benign	CryptoBounty	Other	0	source_provenance	source_derived
CryptoBounty-Benign_g_0145f6ce82b6fa4e6c84	group_7641c53927d87fc4	CryptoBounty_Benign	CryptoBounty	Other	0	source_provenance	source_derived
CryptoBounty-Benign_g_04525715e9c20fcbf686	group_8e2cb9c6907d1251	CryptoBounty_Benign	CryptoBounty	Other	0	source_provenance	source_derived
CryptoBounty-Benign_g_046be885bcf3961a6240	group_5dcf4f2a2c195ddc	CryptoBounty_Benign	CryptoBounty	Other	0	source_provenance	source_derived
CryptoBounty-Benign_g_053e3a6a8161cff542af	group_cfee97814fe9c3f0	CryptoBounty_Benign	CryptoBounty	Other	0	source_provenance	source_derived
CryptoBounty-Benign_g_0559b2da998ef175538e	group_8871b34d191d18a6	CryptoBounty_Benign	CryptoBounty	Other	0	source_provenance	source_derived
CryptoBounty-Benign_g_0581331a8647f200e0ee	group_0767d2a748472c09	CryptoBounty_Benign	CryptoBounty	Other	0	source_provenance	source_derived
CryptoBounty-Benign_g_0999c325425741524f20	group_5ae34062189e66ec	CryptoBounty_Benign	CryptoBounty	Other	0	source_provenance	source_derived
CryptoBounty-Benign_g_0a0bf63c57bff5c4841a	group_222eb76567579ae9	CryptoBounty_Benign	CryptoBounty	Other	0	source_provenance	source_derived
CryptoBounty-Benign_g_0a8312810cfbfd18fb1d	group_5af83922ab02f7ad	CryptoBounty_Benign	CryptoBounty	Other	0	source_provenance	source_derived
CryptoBounty-Benign_g_0b542a3fb2f13bf85b04	group_efad64aac8d01df8	CryptoBounty_Benign	CryptoBounty	Other	0	source_provenance	source_derived
CryptoBounty-Benign_g_0bd412dc1dfc62320738	group_070c2303ee77db86	CryptoBounty_Benign	CryptoBounty	Other	0	source_provenance	source_derived
CryptoBounty-Benign_g_0f49416507a58691470f	group_1ec21e308deb4167	CryptoBounty_Benign	CryptoBounty	Other	0	source_provenance	source_derived
CryptoBounty-Benign_g_0fbd3e5c576e0af62881	group_3b32fe5b41e17839	CryptoBounty_Benign	CryptoBounty	Other	0	source_provenance	source_derived
CryptoBounty-Benign_g_109ef88cb198690e1c1d	group_c4feddc0629c793d	CryptoBounty_Benign	CryptoBounty	Other	0	source_provenance	source_derived
CryptoBounty-Benign_g_13439c7d87454362650e	group_dcd2b2a8cfa7b481	CryptoBounty_Benign	CryptoBounty	Other	0	source_provenance	source_derived
CryptoBounty-Benign_g_15da24f1c1f92655c7f9	group_1944d929f54d259b	CryptoBounty_Benign	CryptoBounty	Other	0	source_provenance	source_derived
CryptoBounty-Benign_g_1909df50ce2ef22a6998	group_40d6f336748e4bba	CryptoBounty_Benign	CryptoBounty	Other	0	source_provenance	source_derived
CryptoBounty-Benign_g_1ab6eef47efdeb46d197	group_4d28fb6e192fa78e	CryptoBounty_Benign	CryptoBounty	Other	0	source_provenance	source_derived
CryptoBounty-Benign_g_1ad2f3fcc47de2868ee6	group_a98011da5fcb7158	CryptoBounty_Benign	CryptoBounty	Other	0	source_provenance	source_derived
CryptoBounty-Benign_g_1bd4b0a87f4fa67a707d	group_7cdb95e75df85b9b	CryptoBounty_Benign	CryptoBounty	Other	0	source_provenance	source_derived
CryptoBounty-Benign_g_1c98ad6b771c2b2feb13	group_648a653e1c792394	CryptoBounty_Benign	CryptoBounty	Other	0	source_provenance	source_derived
CryptoBounty-Benign_g_1cc2ceb1606686d0bd84	group_f8e598bcee8481f4	CryptoBounty_Benign	CryptoBounty	Other	0	source_provenance	source_derived
CryptoBounty-Benign_g_1d281cdebfb726d560f8	group_187dda3fba7265d7	CryptoBounty_Benign	CryptoBounty	Other	0	source_provenance	source_derived
CryptoBounty-Benign_g_1d79819594b921917275	group_218e65c31ff2df64	CryptoBounty_Benign	CryptoBounty	Other	0	source_provenance	source_derived
CryptoBounty-Benign_g_1f0016ac122d4f76f79e	group_fe1efe9a769ef024	CryptoBounty_Benign	CryptoBounty	Other	0	source_provenance	source_derived
CryptoBounty-Benign_g_1f4ce197806e5d449b3c	group_0444f852a8d5b860	CryptoBounty_Benign	CryptoBounty	Other	0	source_provenance	source_derived
CryptoBounty-Benign_g_1fe88cec043df70216f7	group_33d99cee1e35c2bd	CryptoBounty_Benign	CryptoBounty	Other	0	source_provenance	source_derived
CryptoBounty-Benign_g_20905ccf471609118ada	group_cc23ccb3725583a3	CryptoBounty_Benign	CryptoBounty	Other	0	source_provenance	source_derived
CryptoBounty-Benign_g_216bc83200bbc1a4ad6a	group_c342ba29f16ec5d5	CryptoBounty_Benign	CryptoBounty	Other	0	source_provenance	source_derived
CryptoBounty-Benign_g_2180ba0adcc9df599fd3	group_dc21eff9f655003b	CryptoBounty_Benign	CryptoBounty	Other	0	source_provenance	source_derived
CryptoBounty-Benign_g_225e3fe7ce7f6921fa96	group_179445c241527c63	CryptoBounty_Benign	CryptoBounty	Other	0	source_provenance	source_derived
CryptoBounty-Benign_g_24ed1e4ae08c626245db	group_822dc047051733aa	CryptoBounty_Benign	CryptoBounty	Other	0	source_provenance	source_derived
CryptoBounty-Benign_g_24fb480e7b056172b663	group_4dcbf9efe4642261	CryptoBounty_Benign	CryptoBounty	Other	0	source_provenance	source_derived
CryptoBounty-Benign_g_253b736ceb174d06bdc2	group_d25b18f0b21fa824	CryptoBounty_Benign	CryptoBounty	Other	0	source_provenance	source_derived
CryptoBounty-Benign_g_273bc090f2ecfd520263	group_79e3071690678272	CryptoBounty_Benign	CryptoBounty	Other	0	source_provenance	source_derived
CryptoBounty-Benign_g_27d68abd1a62e7c52974	group_747f642e2c294541	CryptoBounty_Benign	CryptoBounty	Other	0	source_provenance	source_derived
CryptoBounty-Benign_g_29861e27901a98203dca	group_a4c5ea2110c106e8	CryptoBounty_Benign	CryptoBounty	Other	0	source_provenance	source_derived
CryptoBounty-Benign_g_2c5c403f56752996c373	group_72a93add21f76523	CryptoBounty_Benign	CryptoBounty	Other	0	source_provenance	source_derived
CryptoBounty-Benign_g_2c5cc730c372361d7c22	group_8b9968977e0c876b	CryptoBounty_Benign	CryptoBounty	Other	0	source_provenance	source_derived
CryptoBounty-Benign_g_2cba6e8dece147af8351	group_47d25c2c80f710f3	CryptoBounty_Benign	CryptoBounty	Other	0	source_provenance	source_derived
CryptoBounty-Benign_g_2dc253f8cf5c12d657c0	group_f334089368fac968	CryptoBounty_Benign	CryptoBounty	Other	0	source_provenance	source_derived
CryptoBounty-Benign_g_2dd6ba8d694b9934a660	group_4a7e2c115394a073	CryptoBounty_Benign	CryptoBounty	Other	0	source_provenance	source_derived
CryptoBounty-Benign_g_2fdebfbc75f2d84c5fa2	group_c08b2b8e09e00dda	CryptoBounty_Benign	CryptoBounty	Other	0	source_provenance	source_derived
CryptoBounty-Benign_g_30879b1fe596f2a3bbc1	group_f4c819df175bb390	CryptoBounty_Benign	CryptoBounty	Other	0	source_provenance	source_derived
CryptoBounty-Benign_g_31b7a73764022a59a67b	group_f9fa835af42ee4a7	CryptoBounty_Benign	CryptoBounty	Other	0	source_provenance	source_derived
CryptoBounty-Benign_g_3387e7cc398a9ce34a37	group_e55fcefd09003d65	CryptoBounty_Benign	CryptoBounty	Other	0	source_provenance	source_derived
CryptoBounty-Benign_g_355e4dbd399375f5b261	group_2919eed30e85ff08	CryptoBounty_Benign	CryptoBounty	Other	0	source_provenance	source_derived
CryptoBounty-Benign_g_36b8b6987b79e6ea8042	group_cd4e98c078a359e9	CryptoBounty_Benign	CryptoBounty	Other	0	source_provenance	source_derived
CryptoBounty-Benign_g_37eac097bd345eaae317	group_fc07ecc557d6c3ea	CryptoBounty_Benign	CryptoBounty	Other	0	source_provenance	source_derived
CryptoBounty-Benign_g_3875474e63abda70cfcb	group_422a20de24021ec8	CryptoBounty_Benign	CryptoBounty	Other	0	source_provenance	source_derived
CryptoBounty-Benign_g_38c234df955133ad3622	group_698208c794ba1f19	CryptoBounty_Benign	CryptoBounty	Other	0	source_provenance	source_derived
CryptoBounty-Benign_g_3befdb7ffa1a492cb23d	group_f98314d191430a7c	CryptoBounty_Benign	CryptoBounty	Other	0	source_provenance	source_derived
CryptoBounty-Benign_g_3df6c3f099efbd4f21ee	group_855e29722fc492f7	CryptoBounty_Benign	CryptoBounty	Other	0	source_provenance	source_derived
CryptoBounty-Benign_g_3f1edb17816f60e74f7e	group_d13eb510b7815686	CryptoBounty_Benign	CryptoBounty	Other	0	source_provenance	source_derived
CryptoBounty-Benign_g_41c9ed0ee1217016e06b	group_64c1038a7f421863	CryptoBounty_Benign	CryptoBounty	Other	0	source_provenance	source_derived
CryptoBounty-Benign_g_42957eb2932895997e41	group_20e83607860bee3e	CryptoBounty_Benign	CryptoBounty	Other	0	source_provenance	source_derived
CryptoBounty-Benign_g_439f6913c02fbb79eadb	group_04945622ee3dfd84	CryptoBounty_Benign	CryptoBounty	Other	0	source_provenance	source_derived
CryptoBounty-Benign_g_4450a99f24111aae3699	group_9254b53974204eca	CryptoBounty_Benign	CryptoBounty	Other	0	source_provenance	source_derived
CryptoBounty-Benign_g_45244f551deca43907e2	group_3bc746231de3b40b	CryptoBounty_Benign	CryptoBounty	Other	0	source_provenance	source_derived
CryptoBounty-Benign_g_4da945cf0d6d02dd5b86	group_c611c63d97de6497	CryptoBounty_Benign	CryptoBounty	Other	0	source_provenance	source_derived
CryptoBounty-Benign_g_4e27e28786dc15c8b5ce	group_a6e647a87d27e1ef	CryptoBounty_Benign	CryptoBounty	Other	0	source_provenance	source_derived
CryptoBounty-Benign_g_4ee33ccd0158a8cb1510	group_cffd2141f4b8e4e7	CryptoBounty_Benign	CryptoBounty	Other	0	source_provenance	source_derived
CryptoBounty-Benign_g_505747967bcb692e8ae3	group_5b1a4a307b2a2de0	CryptoBounty_Benign	CryptoBounty	Other	0	source_provenance	source_derived
CryptoBounty-Benign_g_5058cd184a49be84b530	group_9ac90351041f4045	CryptoBounty_Benign	CryptoBounty	Other	0	source_provenance	source_derived
CryptoBounty-Benign_g_50a3a7adc4257c09173a	group_54e551c16a5e3e0d	CryptoBounty_Benign	CryptoBounty	Other	0	source_provenance	source_derived
CryptoBounty-Benign_g_5141703be5c1bd0c6a01	group_c9b5bde1010adfc5	CryptoBounty_Benign	CryptoBounty	Other	0	source_provenance	source_derived
CryptoBounty-Benign_g_540e583ff9306223a129	group_70a558788d0894e7	CryptoBounty_Benign	CryptoBounty	Other	0	source_provenance	source_derived
CryptoBounty-Benign_g_54450672f373f449a094	group_a0cbc2a3e0a2ab05	CryptoBounty_Benign	CryptoBounty	Other	0	source_provenance	source_derived
CryptoBounty-Benign_g_560502cf13edeb4c0c3e	group_116b676b868dae46	CryptoBounty_Benign	CryptoBounty	Other	0	source_provenance	source_derived
CryptoBounty-Benign_g_5d9e02cd1cba2b87ae1f	group_86e69a06a123a669	CryptoBounty_Benign	CryptoBounty	Other	0	source_provenance	source_derived
CryptoBounty-Benign_g_5e73eeff62900aa5f73d	group_aeda7fce724f5030	CryptoBounty_Benign	CryptoBounty	Other	0	source_provenance	source_derived
CryptoBounty-Benign_g_5e987d87bd80f662062d	group_397bef79d5aa638d	CryptoBounty_Benign	CryptoBounty	Other	0	source_provenance	source_derived
CryptoBounty-Benign_g_5ed06b9a6d633c07afd1	group_acdca2ec63a7b8df	CryptoBounty_Benign	CryptoBounty	Other	0	source_provenance	source_derived
CryptoBounty-Benign_g_5f1232a03aa2a71beeb9	group_82b9d779b92e355c	CryptoBounty_Benign	CryptoBounty	Other	0	source_provenance	source_derived
CryptoBounty-Benign_g_5fa861e470001fe54292	group_e51c0eec3fc3e004	CryptoBounty_Benign	CryptoBounty	Other	0	source_provenance	source_derived
CryptoBounty-Benign_g_61908eb772cf1c226d78	group_f93a0b99fb5aba1b	CryptoBounty_Benign	CryptoBounty	Other	0	source_provenance	source_derived
CryptoBounty-Benign_g_6313cb5cb59eaa629fa8	group_dfdd82850694a3c4	CryptoBounty_Benign	CryptoBounty	Other	0	source_provenance	source_derived
CryptoBounty-Benign_g_637704c920282503561e	group_312b88d0560c74ef	CryptoBounty_Benign	CryptoBounty	Other	0	source_provenance	source_derived
CryptoBounty-Benign_g_63dfef8d0aa1ee8f3c2e	group_b13219c350fd9c51	CryptoBounty_Benign	CryptoBounty	Other	0	source_provenance	source_derived
CryptoBounty-Benign_g_64717800ef4a871ed630	group_e0c14b47c0ea09b2	CryptoBounty_Benign	CryptoBounty	Other	0	source_provenance	source_derived
