session_id	group_id	user_id	destination_id	capture_start_ms	duration_ms	tls_record_count	c2s_record_count	s2c_record_count	c2s_record_bytes	s2c_record_bytes	signed_tls_record_lengths	record_interarrival_ms
CryptoBounty-Benign_s_b0ff3457e95855197480	CryptoBounty-Benign_g_00f49d66d4dea2fc889f	CryptoBounty-Benign_u_bc92876d5a6cc759515b	endpoint_57136c1df548d9f36142	3493281.25	402.148	21	8	13	2520	4876	[1516,-1215,-6,-28,-853,-286,-74,6,74,188,342,342,-255,-255,28,-122,-662,-662,-434,-24,24]	[0.0,49.355,0.006,0.004,0.004,0.003,0.003,41.32,0.008,0.006,0.006,42.327,0.701,0.006,27.836,51.354,0.007,22.501,19.737,0.006,29.844]
CryptoBounty-Benign_s_735831fc4894af3f6555	CryptoBounty-Benign_g_00f49d66d4dea2fc889f	CryptoBounty-Benign_u_c036347e2a8f6b8e2ed0	endpoint_57136c1df548d9f36142	4028031.25	489.904	20	7	13	2253	4085	[1516,-1215,-6,-28,-853,-286,-74,6,74,185,242,206,-255,-255,-121,-432,-432,-104,-24,24]	[0.0,60.766,0.011,0.009,0.008,0.007,0.013,49.0,0.01,0.007,0.007,41.781,1.236,0.01,63.449,0.017,27.967,32.066,0.007,51.874]
CryptoBounty-Benign_s_09c976ac522406d2c10c	CryptoBounty-Benign_g_00f49d66d4dea2fc889f	CryptoBounty-Benign_u_5e3422743ddac7da56da	endpoint_57136c1df548d9f36142	5357125.0	567.064	23	10	13	4003	4604	[1516,-1215,-6,-28,-853,-286,-74,6,74,190,502,502,-255,-255,502,502,185,-122,-702,-702,-82,-24,24]	[0.0,51.688,0.007,0.005,0.005,0.004,0.004,49.827,0.014,0.007,0.008,51.058,0.545,0.014,32.174,29.048,26.364,61.854,0.019,35.118,32.173,0.011,45.91]
CryptoBounty-Benign_s_fb85ea14385c107d27c3	CryptoBounty-Benign_g_00f49d66d4dea2fc889f	CryptoBounty-Benign_u_d330a5ec7782191edaf9	endpoint_57136c1df548d9f36142	7733718.75	413.578	24	11	13	4577	4610	[1516,-1215,-6,-28,-853,-286,-74,6,74,190,502,502,-255,-255,502,502,502,257,-122,-702,-702,-88,-24,24]	[0.0,41.316,0.007,0.006,0.006,0.005,0.006,33.713,0.008,0.005,0.006,31.264,0.735,0.006,22.822,21.433,19.892,22.22,47.98,0.011,25.372,25.688,0.013,37.694]
CryptoBounty-Benign_s_5fb8fc6c7d908e662fb0	CryptoBounty-Benign_g_00f49d66d4dea2fc889f	CryptoBounty-Benign_u_d5f864d4804a01a1a7e0	endpoint_57136c1df548d9f36142	10172093.75	552.505	24	10	14	3785	6223	[1516,-1215,-6,-28,-853,-286,-74,6,74,186,442,442,-255,-255,442,442,211,-122,-822,-822,-822,-639,-24,24]	[0.0,49.574,0.011,0.004,0.004,0.004,0.003,39.051,0.008,0.005,0.009,47.045,1.174,0.011,25.144,38.866,31.736,56.852,0.01,32.803,25.49,23.634,0.006,47.581]
CryptoBounty-Benign_s_d5d23b477e8d5cd0b32c	CryptoBounty-Benign_g_00f49d66d4dea2fc889f	CryptoBounty-Benign_u_f17de882c4c890edae01	endpoint_57136c1df548d9f36142	10483781.25	372.638	20	8	12	2403	4312	[1516,-1215,-6,-28,-853,-286,-74,6,74,185,278,278,-255,-255,42,-122,-662,-532,-24,24]	[0.0,41.857,0.011,0.004,0.004,0.004,0.003,35.683,0.006,0.003,0.004,40.593,0.909,0.008,23.936,44.755,0.008,31.228,0.01,36.546]
CryptoBounty-Benign_s_9704ab055e0b7ffd1d6c	CryptoBounty-Benign_g_00f49d66d4dea2fc889f	CryptoBounty-Benign_u_4615e7a3a9051ab94fac	endpoint_57136c1df548d9f36142	10506625.0	450.547	22	9	13	3098	5230	[1516,-1215,-6,-28,-853,-286,-74,6,74,189,382,382,-255,-255,382,143,-122,-742,-742,-628,-24,24]	[0.0,45.953,0.006,0.004,0.004,0.009,0.003,42.647,0.008,0.01,0.006,38.567,0.346,0.005,30.595,20.728,50.784,0.008,28.792,29.603,0.008,32.322]
CryptoBounty-Benign_s_190861abd860829f7876	CryptoBounty-Benign_g_00f49d66d4dea2fc889f	CryptoBounty-Benign_u_a6a399e6fe28a3a3a5c1	endpoint_57136c1df548d9f36142	22121062.5	374.55	20	8	12	2536	4370	[1516,-1215,-6,-28,-853,-286,-74,6,74,185,278,278,-255,-255,175,-122,-662,-590,-24,24]	[0.0,45.066,0.007,0.005,0.004,0.004,0.004,36.978,0.009,0.007,0.007,34.46,0.61,0.006,23.331,46.518,0.009,22.782,0.007,33.229]
CryptoBounty-Benign_s_431896460d0106089e24	CryptoBounty-Benign_g_0145f6ce82b6fa4e6c84	CryptoBounty-Benign_u_5fd85a6388bb0db95085	endpoint_ed922b7e66e576f499b2	960750.0	423.813	19	7	12	2251	4058	[1516,-1215,-6,-28,-853,-286,-74,6,74,186,278,167,-255,-255,-121,-534,-407,-24,24]	[0.0,44.316,0.01,0.008,0.007,0.006,0.006,36.239,0.008,0.006,0.006,44.61,0.81,0.006,66.771,0.015,37.499,0.009,38.592]
CryptoBounty-Benign_s_fcbfcbba936e2c035c49	CryptoBounty-Benign_g_0145f6ce82b6fa4e6c84	CryptoBounty-Benign_u_69f0de04694e5f457069	endpoint_ed922b7e66e576f499b2	1480343.75	355.42	21	8	13	2782	4478	[1516,-1215,-6,-28,-853,-286,-74,6,74,188,342,342,-255,-255,290,-122,-662,-662,-36,-24,24]	[0.0,21.378,0.01,0.004,0.004,0.005,0.007,39.409,0.009,0.006,0.005,51.986,7.245,0.006,28.703,63.256,0.006,16.79,16.976,0.006,26.73]
