group_id	split
CryptoBounty-Benign_g_00f49d66d4dea2fc889f	train
CryptoBounty-Benign_g_0145f6ce82b6fa4e6c84	train
CryptoBounty-Benign_g_04525715e9c20fcbf686	train
CryptoBounty-Benign_g_046be885bcf3961a6240	test
CryptoBounty-Benign_g_053e3a6a8161cff542af	train
CryptoBounty-Benign_g_0559b2da998ef175538e	test
CryptoBounty-Benign_g_0581331a8647f200e0ee	train
CryptoBounty-Benign_g_0999c325425741524f20	train
CryptoBounty-Benign_g_0a0bf63c57bff5c4841a	test
CryptoBounty-Benign_g_0a8312810cfbfd18fb1d	validation
CryptoBounty-Benign_g_0b542a3fb2f13bf85b04	train
CryptoBounty-Benign_g_0bd412dc1dfc62320738	train
CryptoBounty-Benign_g_0f49416507a58691470f	train
CryptoBounty-Benign_g_0fbd3e5c576e0af62881	test
CryptoBounty-Benign_g_109ef88cb198690e1c1d	validation
CryptoBounty-Benign_g_13439c7d87454362650e	validation
CryptoBounty-Benign_g_15da24f1c1f92655c7f9	validation
CryptoBounty-Benign_g_1909df50ce2ef22a6998	test
CryptoBounty-Benign_g_1ab6eef47efdeb46d197	train
CryptoBounty-Benign_g_1ad2f3fcc47de2868ee6	train
CryptoBounty-Benign_g_1bd4b0a87f4fa67a707d	train
CryptoBounty-Benign_g_1c98ad6b771c2b2feb13	test
CryptoBounty-Benign_g_1cc2ceb1606686d0bd84	validation
CryptoBounty-Benign_g_1d281cdebfb726d560f8	train
CryptoBounty-Benign_g_1d79819594b921917275	test
CryptoBounty-Benign_g_1f0016ac122d4f76f79e	train
CryptoBounty-Benign_g_1f4ce197806e5d449b3c	validation
CryptoBounty-Benign_g_1fe88cec043df70216f7	train
CryptoBounty-Benign_g_20905ccf471609118ada	test
CryptoBounty-Benign_g_216bc83200bbc1a4ad6a	validation
CryptoBounty-Benign_g_2180ba0adcc9df599fd3	train
CryptoBounty-Benign_g_225e3fe7ce7f6921fa96	train
CryptoBounty-Benign_g_24ed1e4ae08c626245db	train
CryptoBounty-Benign_g_24fb480e7b056172b663	train
CryptoBounty-Benign_g_253b736ceb174d06bdc2	train
CryptoBounty-Benign_g_273bc090f2ecfd520263	train
CryptoBounty-Benign_g_27d68abd1a62e7c52974	train
CryptoBounty-Benign_g_29861e27901a98203dca	train
CryptoBounty-Benign_g_2c5c403f56752996c373	test
CryptoBounty-Benign_g_2c5cc730c372361d7c22	train
CryptoBounty-Benign_g_2cba6e8dece147af8351	train
CryptoBounty-Benign_g_2dc253f8cf5c12d657c0	train
CryptoBounty-Benign_g_2dd6ba8d694b9934a660	train
CryptoBounty-Benign_g_2fdebfbc75f2d84c5fa2	test
CryptoBounty-Benign_g_30879b1fe596f2a3bbc1	train
CryptoBounty-Benign_g_31b7a73764022a59a67b	validation
CryptoBounty-Benign_g_3387e7cc398a9ce34a37	train
CryptoBounty-Benign_g_355e4dbd399375f5b261	train
CryptoBounty-Benign_g_36b8b6987b79e6ea8042	train
CryptoBounty-Benign_g_37eac097bd345eaae317	train
CryptoBounty-Benign_g_3875474e63abda70cfcb	test
CryptoBounty-Benign_g_38c234df955133ad3622	train
CryptoBounty-Benign_g_3befdb7ffa1a492cb23d	train
CryptoBounty-Benign_g_3df6c3f099efbd4f21ee	validation
CryptoBounty-Benign_g_3f1edb17816f60e74f7e	train
CryptoBounty-Benign_g_41c9ed0ee1217016e06b	train
CryptoBounty-Benign_g_42957eb2932895997e41	train
CryptoBounty-Benign_g_439f6913c02fbb79eadb	train
CryptoBounty-Benign_g_4450a99f24111aae3699	train
CryptoBounty-Benign_g_45244f551deca43907e2	train
CryptoBounty-Benign_g_4da945cf0d6d02dd5b86	train
CryptoBounty-Benign_g_4e27e28786dc15c8b5ce	validation
CryptoBounty-Benign_g_4ee33ccd0158a8cb1510	train
CryptoBounty-Benign_g_505747967bcb692e8ae3	train
CryptoBounty-Benign_g_5058cd184a49be84b530	validation
CryptoBounty-Benign_g_50a3a7adc4257c09173a	train
CryptoBounty-Benign_g_5141703be5c1bd0c6a01	train
CryptoBounty-Benign_g_540e583ff9306223a129	train
CryptoBounty-Benign_g_54450672f373f449a094	train
CryptoBounty-Benign_g_560502cf13edeb4c0c3e	train
CryptoBounty-Benign_g_5d9e02cd1cba2b87ae1f	test
CryptoBounty-Benign_g_5e73eeff62900aa5f73d	train
CryptoBounty-Benign_g_5e987d87bd80f662062d	train
CryptoBounty-Benign_g_5ed06b9a6d633c07afd1	validation
CryptoBounty-Benign_g_5f1232a03aa2a71beeb9	train
CryptoBounty-Benign_g_5fa861e470001fe54292	train
CryptoBounty-Benign_g_61908eb772cf1c226d78	test
CryptoBounty-Benign_g_6313cb5cb59eaa629fa8	train
CryptoBounty-Benign_g_637704c920282503561e	validation
CryptoBounty-Benign_g_63dfef8d0aa1ee8f3c2e	train
CryptoBounty-Benign_g_64717800ef4a871ed630	train
CryptoBounty-Benign_g_64fbbf3e681eb223619d	train
CryptoBounty-Benign_g_664fc9293391478c48a4	train
CryptoBounty-Benign_g_6946734bf8bd6109a09b	train
CryptoBounty-Benign_g_6a613bf15973b682ed5d	test
CryptoBounty-Benign_g_6a93a4e1534f6eb255e3	train
CryptoBounty-Benign_g_6bce10259ed78fdf0942	train
CryptoBounty-Benign_g_6cb59692c4937ee97ce6	train
CryptoBounty-Benign_g_6da46ae983275d427631	train
CryptoBounty-Benign_g_6db3421517ba0cd6dce6	validation
CryptoBounty-Benign_g_6ea04bfe32d9ac858134	train
CryptoBounty-Benign_g_6f208a8c8a0ae1e69186	train
CryptoBounty-Benign_g_6f24f9d1c74f903495f7	test
CryptoBounty-Benign_g_710152403252ba8a3938	validation
CryptoBounty-Benign_g_71936032b2fb3212bf9b	train
CryptoBounty-Benign_g_74f1b5137b1c6d861f67	train
CryptoBounty-Benign_g_782b9d3a5e1076734407	train
CryptoBounty-Benign_g_79ae78ed55b6ccc8067e	train
CryptoBounty-Benign_g_79b890b62c332637dc74	train
CryptoBounty-Benign_g_7be146e1f793fc75912a	test
CryptoBounty-Benign_g_7c50c338304573850c30	train
CryptoBounty-Benign_g_80cc9dc90f1735b6f7d5	train
CryptoBounty-Benign_g_83408d6b9a0a9b1c7620	train
CryptoBounty-Benign_g_856dc4d2010520f6bc63	train
CryptoBounty-Benign_g_8a17d342ddb1d441203b	test
CryptoBounty-Benign_g_8ae10b7a9a91cb704ac8	train
CryptoBounty-Benign_g_8bb48e93fca479b2f4c2	validation
CryptoBounty-Benign_g_8dd294140839be526695	train
CryptoBounty-Benign_g_8fca6a41706c510e895b	train
CryptoBounty-Benign_g_8fee27186dc8095d6e15	validation
CryptoBounty-Benign_g_9195ccb17acb25503e1e	test
CryptoBounty-Benign_g_91c42bf8460ee9d0ac4f	train
CryptoBounty-Benign_g_96a2447d297828e24dd0	train
CryptoBounty-Benign_g_982e1afd52920ab715f4	train
CryptoBounty-Benign_g_98c4b0e12fdecaedd463	train
CryptoBounty-Benign_g_9cf66e1b9342349194cd	test
CryptoBounty-Benign_g_a108e6437e4a8415ce2e	test
CryptoBounty-Benign_g_a27007f57ebe44f8ce46	train
CryptoBounty-Benign_g_a3d4a31b246583aeb5b3	train
CryptoBounty-Benign_g_a610dd9f6714a17a67b9	train
CryptoBounty-Benign_g_a689bbad026f6f301c23	test
CryptoBounty-Benign_g_a702c766d3c594aea9bb	train
CryptoBounty-Benign_g_a748a2e23ccef7ce9c43	train
CryptoBounty-Benign_g_a9c67ab8d916f7d6d55f	test
CryptoBounty-Benign_g_ac1b3ef0e5feddea7cfd	train
CryptoBounty-Benign_g_ad3230b7aaab48608050	train
CryptoBounty-Benign_g_ad4dfb585a674eb9f81d	train
CryptoBounty-Benign_g_ad9e1396e21afd15aec5	validation
CryptoBounty-Benign_g_af032807ed05d02c541f	train
CryptoBounty-Benign_g_b279473932760deedb20	train
